employee_id,employee_name,department,signed_date,status
NB-EMP-050,Employee_050,Athletics,2024-08-11,SIGNED
NB-EMP-051,Employee_051,Admin,2024-08-12,SIGNED
NB-EMP-052,Employee_052,Academics,2024-08-13,SIGNED
NB-EMP-053,Employee_053,Operations,2024-08-14,SIGNED
NB-EMP-054,Employee_054,Athletics,2024-08-15,SIGNED
NB-EMP-055,Employee_055,Admin,2024-08-16,SIGNED
NB-EMP-056,Employee_056,Academics,2024-08-17,SIGNED
NB-EMP-057,Employee_057,Operations,2024-08-18,SIGNED
NB-EMP-058,Employee_058,Athletics,2024-08-19,SIGNED
NB-EMP-059,Employee_059,Admin,2024-08-20,SIGNED
NB-EMP-060,Employee_060,Academics,2024-08-01,SIGNED
NB-EMP-061,Employee_061,Operations,2024-08-02,SIGNED
NB-EMP-062,Employee_062,Athletics,2024-08-03,SIGNED
NB-EMP-063,Employee_063,Admin,2024-08-04,SIGNED
NB-EMP-064,Employee_064,Academics,2024-08-05,SIGNED
NB-EMP-065,Employee_065,Operations,2024-08-06,SIGNED
NB-EMP-066,Employee_066,Athletics,2024-08-07,SIGNED
NB-EMP-067,Employee_067,Admin,2024-08-08,SIGNED
NB-EMP-068,Employee_068,Academics,2024-08-09,SIGNED
NB-EMP-069,Employee_069,Operations,2024-08-10,SIGNED
NB-EMP-070,Employee_070,Athletics,2024-08-11,SIGNED
NB-EMP-071,Employee_071,Admin,2024-08-12,SIGNED
NB-EMP-072,Employee_072,Academics,2024-08-13,SIGNED
NB-EMP-073,Employee_073,Operations,2024-08-14,SIGNED
NB-EMP-074,Employee_074,Athletics,2024-08-15,SIGNED
NB-EMP-075,Employee_075,Admin,2024-08-16,SIGNED
NB-EMP-076,Employee_076,Academics,2024-08-17,SIGNED
NB-EMP-077,Employee_077,Operations,2024-08-18,SIGNED
NB-EMP-078,Employee_078,Athletics,2024-08-19,SIGNED
NB-EMP-079,Employee_079,Admin,2024-08-20,SIGNED
NB-EMP-080,Employee_080,Academics,2024-08-01,SIGNED
NB-EMP-081,Employee_081,Operations,2024-08-02,SIGNED
NB-EMP-082,Employee_082,Athletics,2024-08-03,SIGNED
NB-EMP-083,Employee_083,Admin,2024-08-04,SIGNED
NB-EMP-084,Employee_084,Academics,2024-08-05,SIGNED
NB-EMP-085,Employee_085,Operations,2024-08-06,SIGNED
NB-EMP-086,Employee_086,Athletics,2024-08-07,SIGNED
NB-EMP-087,Employee_087,Admin,2024-08-08,SIGNED
NB-EMP-088,Employee_088,Academics,2024-08-09,SIGNED
NB-EMP-089,Employee_089,Operations,2024-08-10,SIGNED
NB-EMP-090,Employee_090,Athletics,2024-08-11,SIGNED
NB-EMP-091,Employee_091,Admin,2024-08-12,SIGNED
NB-EMP-092,Employee_092,Academics,2024-08-13,SIGNED
NB-EMP-093,Employee_093,Operations,2024-08-14,SIGNED
NB-EMP-094,Employee_094,Athletics,2024-08-15,SIGNED
